ID,Name,PC1,PC2,PC3,PC4,PC5,Quadrant,Octant,MP,BP,Density,Dielectric,ETN,Refractive Index,Hildebrand,Hansen Disp,Hansen Polar,Hansen H-Bond,Gutmann,Dipole,Solvatochromic Pi*,Solvatochromic Alpha,Solvatochromic Beta,log Pow,Abraham R2,Abraham Pi,Abraham AH,Abraham BH,Abraham L16,Abraham Vx,Auto-Ignition,T-Rating,Flash Point,Flammability,Flammability Score,Vapour Pressure,VOC Potential,Viscosity,Viscosity Score,Hvap,Heat Capacity,Static,Solubility of Water,Miscibility,ICH Class,ICH Limit,Health_old,Impact in Air,Impact in Water,LCA,SMILES,InChIKey,InChI,CAS,Formula,Mol. Wt.,General,Environmental,Environmental Link,Reactivity,Reactivity Literature,Avoidance,Acid,Alcohol,Alkene,Anhydride,Amide,1°Amide,2°Amide,3°Amide,Amine,1°Amine,2°Amine,3°Amine,Heteroaromatic Amines,Anilines,Nitrogen Bases,Aromatic,Carbonate,Ester,Ether,Ketone/Aldehyde,Halogen,Chloro,Fluoro,Hydrocarbon,Nitrile,Nitro,Phosphorus Containing,Sulfur Containing,Sulfide,Sulfoxide,Sulfite,Sulfone,Urea,Silicone,Other,Safety,Health,Environment,Default ranking,Adjusted ranking
82,n-Heptane,7.46235,-4.17338,1.01039,-3.17418,0.0714986,2,6,-90.6,98.4,0.679,1.9,0.012,1.388,7.5,7.5,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,4.5,0.0,0.0,0.0,0.0,3.17,1.095,204,T3,-4,Class IB,3,35.5,2,0.414,0,460,3273,3,0.01,N,3,5000,1,1,3,2,CCCCCCC,IMNFDUFMRHMDMM-UHFFFAOYSA-N,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",142-82-5,C7H16,100.202,Static Risk,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,6,2,7,Problematic,Problematic
83,n-Hexane,6.4397,-5.23461,0.186644,-3.68334,0.00238809,2,6,-95.3,68.7,0.655,1.9,0.009,1.375,7.3,7.3,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.67,0.954,225,T3,-22,Class IB,3,120.2,2,0.318,0,476,3445,,0.04,N,2,290,Not Assigned,,,,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",110-54-3,C6H14,86.175,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,8,7,7,Hazardous,Hazardous
86,N-Methylacetamide,-8.30638,1.58203,0.645811,1.01107,-0.217258,3,7,28.0,205.0,0.957,191.3,0.66,1.425,13.3,,,,,3.72,,,,-1.05,0.4,1.3,0.4,0.72,,0.647,490,T1,108,Class IIIB,1,0.1,1,5.321,1,1869,,,,Y,,,Not Assigned,,,,CNC(=O)C,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,"InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)",79-16-3,C3H7NO,73.094,,REACH Candidate list - consider alternatives,http://echa.europa.eu/web/guest/candidate-list-table,,,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,9,7,Hazardous,Hazardous
212,N-Methylaniline,1.63624,-0.955885,0.70064,5.37834,-2.34949,0,0,-57.0,195.9,0.982,5.9,0.36,1.571,10.6,,,,33.0,1.73,,,,1.66,,,,,,0.957,500,T1,78,Class IIIA,1,0.3,1,2.217,1,382,1946,,,N,,,Not Assigned,,,,CNc1ccccc1,AFBPFSWMIHJQDM-UHFFFAOYSA-N,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",100-61-8,C7H9N,107.153,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,6,7,Problematic,Problematic
87,N-Methylformamide,-9.69134,-0.0557008,0.679486,1.61295,-0.157919,1,5,-3.8,182.0,1.01,182.4,0.73,1.432,14.9,,,,49.0,3.87,,,,-0.97,0.41,1.3,0.4,0.55,,0.506,,Not Assigned,103,Class IIIB,1,0.2,1,1.877,1,479,2084,,,Y,,,Not Assigned,,,,CNC=O,ATHHXGZTWNVVOU-UHFFFAOYSA-N,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)",123-39-7,C2H5NO,59.067,,,,,,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,9,5,Hazardous,Hazardous
235,N-methylmorpholine [NNM],-1.17593,1.35871,-2.56019,-1.10662,-2.0975,0,3,-65.0,117.0,0.92,,,1.435,,,,,,,,,,,,,,,,0.863,,Not Assigned,14,Class IB,3,,,,,,,,,Y,,,Not Assigned,,,,CN1CCOCC1,SJRJJKPEHAURKC-UHFFFAOYSA-N,"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",109-02-4,C5H11NO,101.147,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5,2,3,Recommended,Recommended
88,n-Nonane,8.70082,-2.25706,2.09121,-2.23023,-0.123578,2,6,-53.5,148.8,0.714,2.0,0.009,1.405,7.6,7.7,0.0,0.0,,0.07,,,,5.65,0.0,0.0,0.0,0.0,4.18,1.377,205,T3,31,Class IC,3,3.2,1,0.716,0,316,3080,,,N,,,Not Assigned,,,,CCCCCCCCC,BKIMMITUMNQMOS-UHFFFAOYSA-N,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",111-84-2,C9H20,128.255,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,4,2,7,Problematic,Problematic
89,n-Octane,7.84404,-3.28431,1.46227,-2.66848,0.0377296,2,6,-56.8,123.0,0.699,1.9,0.012,1.397,7.5,7.6,0.0,0.0,0.0,0.0,,,,5.15,0.0,0.0,0.0,0.0,3.68,1.236,206,T3,13,Class IB,3,10.5,1,0.542,0,213,3156,,,N,,,Not Assigned,,,,CCCCCCCC,TVMXDCGIABBOFY-UHFFFAOYSA-N,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",111-65-9,C8H18,114.229,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,5,2,7,Problematic,Problematic
90,n-Pentane,5.35467,-6.00755,-0.446493,-4.01826,0.0227278,2,2,-129.7,36.1,0.621,1.8,0.012,1.358,7.0,7.1,0.0,0.0,0.0,0.0,,,,3.45,0.0,0.0,0.0,0.0,2.16,0.813,243,T3,-40,Class IA,3,424.2,3,0.234,0,2075,3705,,0.05,N,3,5000,Not Assigned,,,,CCCCC,OFBQJSOFQDEBGM-UHFFFAOYSA-N,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",109-66-0,C5H12,72.149,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,8,3,7,Hazardous,Hazardous
179,n-Pentyl Acetate,2.41815,1.04865,-0.111091,-1.67326,1.35817,4,4,-70.8,146.0,0.88,,,1.4,8.4,,,,,1.93,,,,,0.07,0.6,0.0,0.45,3.84,1.169,357,T2,25,Class IC,3,3.0,1,0.916,0,294,2254,,,N,,,Not Assigned,,,,CCCCCOC(=O)C,PGMYKACGEOXYJE-UHFFFAOYSA-N,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",628-63-7,C7H14O2,130.185,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,2,5,Recommended,Recommended
